pTiming,rTiming,tTiming
89.3925,89.507875,89.721
89.9925,90.107875,90.321
90.5925,90.707875,90.921
91.1925,91.307875,91.521
91.7925,91.907875,92.121
92.3925,92.507875,92.721
92.9925,93.107875,93.321
93.5925,93.707875,93.921
94.1925,94.307875,94.521
94.7925,94.907875,95.121
95.3925,95.507875,95.721
95.9925,96.107875,96.321
96.5925,96.707875,96.921
97.1925,97.307875,97.521
97.7925,97.907875,98.121
98.3925,98.507875,98.721
98.9925,99.107875,99.321
99.5925,99.707875,99.921
100.1925,100.307875,100.521
100.7925,100.907875,101.121
101.3925,101.507875,101.721
101.9925,102.107875,102.321
102.5925,102.707875,102.921
103.1925,103.307875,103.521
103.7925,103.907875,104.121
104.3925,104.507875,104.721
104.9925,105.107875,105.321
105.5925,105.707875,105.921
106.1925,106.307875,106.521
106.7925,106.907875,107.121
107.3925,107.507875,107.721
107.9925,108.107875,108.321
108.5925,108.707875,108.921
109.1925,109.307875,109.521
109.7925,109.907875,110.121
110.3925,110.507875,110.721
110.9925,111.107875,111.321
111.5925,111.707875,111.921
112.1925,112.307875,112.521
112.7925,112.907875,113.121
113.3925,113.507875,113.721
113.9925,114.107875,114.321
114.5925,114.707875,114.921
115.1925,115.307875,115.521
115.7925,115.907875,116.121
116.3925,116.507875,116.721
116.9925,117.107875,117.321
117.5925,117.707875,117.921
118.1925,118.307875,118.521
118.7925,118.907875,119.121
119.3925,119.507875,119.721
119.9925,120.107875,120.321
120.5925,120.707875,120.921
121.1925,121.307875,121.521
121.7925,121.907875,122.121
122.3925,122.507875,122.721
122.9925,123.107875,123.321
123.5925,123.707875,123.921
124.1925,124.307875,124.521
124.7925,124.907875,125.121
125.3925,125.507875,125.721
125.9925,126.107875,126.321
126.5925,126.707875,126.921
127.1925,127.307875,127.521
